X,Y,U_exp,V_exp,U_theory,V_theory
0.0429688,0.0117188,0.500734,0.999266,0.500734,0.999266
0.0507812,0.0117188,0.500666,0.999334,0.500666,0.999334
0.0585938,0.0117188,0.500604,0.999396,0.500604,0.999396
0.0664062,0.0117188,0.500548,0.999452,0.500548,0.999452
0.0742188,0.0117188,0.500497,0.999503,0.500497,0.999503
0.0820312,0.0117188,0.500451,0.999549,0.500451,0.999549
0.0898438,0.0117188,0.500409,0.999591,0.500409,0.999591
0.0976562,0.0117188,0.500371,0.999629,0.500371,0.999629
0.105469,0.0117188,0.500336,0.999664,0.500336,0.999664
0.113281,0.0117188,0.500305,0.999695,0.500305,0.999695
0.121094,0.0117188,0.500277,0.999723,0.500277,0.999723
0.128906,0.0117188,0.500251,0.999749,0.500251,0.999749
0.136719,0.0117188,0.500228,0.999772,0.500228,0.999772
0.144531,0.0117188,0.500207,0.999793,0.500207,0.999793
0.152344,0.0117188,0.500187,0.999813,0.500187,0.999813
0.160156,0.0117188,0.50017,0.99983,0.50017,0.99983
0.167969,0.0117188,0.500154,0.999846,0.500154,0.999846
0.175781,0.0117188,0.50014,0.99986,0.50014,0.99986
0.183594,0.0117188,0.500127,0.999873,0.500127,0.999873
0.191406,0.0117188,0.500115,0.999885,0.500115,0.999885
0.199219,0.0117188,0.500104,0.999896,0.500104,0.999896
0.207031,0.0117188,0.500095,0.999905,0.500095,0.999905
0.214844,0.0117188,0.500086,0.999914,0.500086,0.999914
0.222656,0.0117188,0.500078,0.999922,0.500078,0.999922
0.230469,0.0117188,0.500071,0.999929,0.500071,0.999929
0.238281,0.0117188,0.500064,0.999936,0.500064,0.999936
0.246094,0.0117188,0.500058,0.999942,0.500058,0.999942
0.253906,0.0117188,0.500053,0.999947,0.500053,0.999947
0.261719,0.0117188,0.500048,0.999952,0.500048,0.999952
0.269531,0.0117188,0.500043,0.999957,0.500043,0.999957
0.277344,0.0117188,0.500039,0.999961,0.500039,0.999961
0.285156,0.0117188,0.500036,0.999964,0.500036,0.999964
0.292969,0.0117188,0.500032,0.999968,0.500032,0.999968
0.300781,0.0117188,0.500029,0.999971,0.500029,0.999971
0.308594,0.0117188,0.500027,0.999973,0.500027,0.999973
0.316406,0.0117188,0.500024,0.999976,0.500024,0.999976
0.324219,0.0117188,0.500022,0.999978,0.500022,0.999978
0.332031,0.0117188,0.50002,0.99998,0.50002,0.99998
0.339844,0.0117188,0.500018,0.999982,0.500018,0.999982
0.347656,0.0117188,0.500016,0.999984,0.500016,0.999984
0.355469,0.0117188,0.500015,0.999985,0.500015,0.999985
0.363281,0.0117188,0.500013,0.999987,0.500013,0.999987
0.371094,0.0117188,0.500012,0.999988,0.500012,0.999988
0.378906,0.0117188,0.500011,0.999989,0.500011,0.999989
0.386719,0.0117188,0.50001,0.99999,0.50001,0.99999
0.394531,0.0117188,0.500009,0.999991,0.500009,0.999991
0.402344,0.0117188,0.500008,0.999992,0.500008,0.999992
0.410156,0.0117188,0.500007,0.999993,0.500007,0.999993
0.417969,0.0117188,0.500007,0.999993,0.500007,0.999993
0.425781,0.0117188,0.500006,0.999994,0.500006,0.999994
0.433594,0.0117188,0.500006,0.999994,0.500006,0.999994
0.441406,0.0117188,0.500005,0.999995,0.500005,0.999995
0.449219,0.0117188,0.500005,0.999995,0.500005,0.999995
0.457031,0.0117188,0.500004,0.999996,0.500004,0.999996
0.464844,0.0117188,0.500004,0.999996,0.500004,0.999996
0.472656,0.0117188,0.500003,0.999997,0.500003,0.999997
0.480469,0.0117188,0.500003,0.999997,0.500003,0.999997
0.488281,0.0117188,0.500003,0.999997,0.500003,0.999997
0.496094,0.0117188,0.500003,0.999997,0.500003,0.999997
0.00390625,0.0195312,0.501315,0.998685,0.501315,0.998685
0.0117188,0.0195312,0.501193,0.998807,0.501193,0.998807
0.0195312,0.0195312,0.501083,0.998917,0.501083,0.998917
0.0273438,0.0195312,0.500982,0.999018,0.500983,0.999017
0.0351562,0.0195312,0.500891,0.999109,0.500891,0.999109
0.0429688,0.0195312,0.500809,0.999191,0.500809,0.999191
0.0507812,0.0195312,0.500734,0.999266,0.500734,0.999266
0.0585938,0.0195312,0.500666,0.999334,0.500666,0.999334
0.0664062,0.0195312,0.500604,0.999396,0.500604,0.999396
0.0742188,0.0195312,0.500548,0.999452,0.500548,0.999452
0.0820312,0.0195312,0.500497,0.999503,0.500497,0.999503
0.0898438,0.0195312,0.500451,0.999549,0.500451,0.999549
0.0976562,0.0195312,0.500409,0.999591,0.500409,0.999591
0.105469,0.0195312,0.500371,0.999629,0.500371,0.999629
0.113281,0.0195312,0.500336,0.999664,0.500336,0.999664
0.121094,0.0195312,0.500305,0.999695,0.500305,0.999695
0.128906,0.0195312,0.500277,0.999723,0.500277,0.999723
0.136719,0.0195312,0.500251,0.999749,0.500251,0.999749
0.144531,0.0195312,0.500228,0.999772,0.500228,0.999772
0.152344,0.0195312,0.500207,0.999793,0.500207,0.999793
0.160156,0.0195312,0.500187,0.999813,0.500187,0.999813
0.167969,0.0195312,0.50017,0.99983,0.50017,0.99983
0.175781,0.0195312,0.500154,0.999846,0.500154,0.999846
0.183594,0.0195312,0.50014,0.99986,0.50014,0.99986
0.191406,0.0195312,0.500127,0.999873,0.500127,0.999873
0.199219,0.0195312,0.500115,0.999885,0.500115,0.999885
0.207031,0.0195312,0.500104,0.999896,0.500104,0.999896
0.214844,0.0195312,0.500095,0.999905,0.500095,0.999905
0.222656,0.0195312,0.500086,0.999914,0.500086,0.999914
0.230469,0.0195312,0.500078,0.999922,0.500078,0.999922
0.238281,0.0195312,0.500071,0.999929,0.500071,0.999929
0.246094,0.0195312,0.500064,0.999936,0.500064,0.999936
0.253906,0.0195312,0.500058,0.999942,0.500058,0.999942
0.261719,0.0195312,0.500053,0.999947,0.500053,0.999947
0.269531,0.0195312,0.500048,0.999952,0.500048,0.999952
0.277344,0.0195312,0.500043,0.999957,0.500043,0.999957
0.285156,0.0195312,0.500039,0.999961,0.500039,0.999961
0.292969,0.0195312,0.500036,0.999964,0.500036,0.999964
0.300781,0.0195312,0.500032,0.999968,0.500032,0.999968
0.308594,0.0195312,0.500029,0.999971,0.500029,0.999971
0.316406,0.0195312,0.500027,0.999973,0.500027,0.999973
0.324219,0.0195312,0.500024,0.999976,0.500024,0.999976
0.332031,0.0195312,0.500022,0.999978,0.500022,0.999978
0.339844,0.0195312,0.50002,0.99998,0.50002,0.99998
0.347656,0.0195312,0.500018,0.999982,0.500018,0.999982
0.355469,0.0195312,0.500016,0.999984,0.500016,0.999984
0.363281,0.0195312,0.500015,0.999985,0.500015,0.999985
0.371094,0.0195312,0.500013,0.999987,0.500013,0.999987
0.378906,0.0195312,0.500012,0.999988,0.500012,0.999988
0.386719,0.0195312,0.500011,0.999989,0.500011,0.999989
0.394531,0.0195312,0.50001,0.99999,0.50001,0.99999
0.402344,0.0195312,0.500009,0.999991,0.500009,0.999991
0.410156,0.0195312,0.500008,0.999992,0.500008,0.999992
0.417969,0.0195312,0.500007,0.999993,0.500007,0.999993
0.425781,0.0195312,0.500007,0.999993,0.500007,0.999993
0.433594,0.0195312,0.500006,0.999994,0.500006,0.999994
0.441406,0.0195312,0.500006,0.999994,0.500006,0.999994
0.449219,0.0195312,0.500005,0.999995,0.500005,0.999995
0.457031,0.0195312,0.500005,0.999995,0.500005,0.999995
0.464844,0.0195312,0.500004,0.999996,0.500004,0.999996
0.472656,0.0195312,0.500004,0.999996,0.500004,0.999996
0.480469,0.0195312,0.500003,0.999997,0.500003,0.999997
0.488281,0.0195312,0.500003,0.999997,0.500003,0.999997
0.496094,0.0195312,0.500003,0.999997,0.500003,0.999997
0.00390625,0.0273438,0.501449,0.998551,0.501449,0.998551
0.0117188,0.0273438,0.501315,0.998685,0.501315,0.998685
0.0195312,0.0273438,0.501193,0.998807,0.501193,0.998807
0.0273438,0.0273438,0.501083,0.998917,0.501083,0.998917
0.0351562,0.0273438,0.500982,0.999018,0.500983,0.999017
0.0429688,0.0273438,0.500891,0.999109,0.500891,0.999109
0.0507812,0.0273438,0.500809,0.999191,0.500809,0.999191
0.0585938,0.0273438,0.500734,0.999266,0.500734,0.999266
0.0664062,0.0273438,0.500665,0.999335,0.500666,0.999334
0.0742188,0.0273438,0.500604,0.999396,0.500604,0.999396
0.0820312,0.0273438,0.500548,0.999452,0.500548,0.999452
0.0898438,0.0273438,0.500497,0.999503,0.500497,0.999503
0.0976562,0.0273438,0.500451,0.999549,0.500451,0.999549
0.105469,0.0273438,0.500409,0.999591,0.500409,0.999591
0.113281,0.0273438,0.500371,0.999629,0.500371,0.999629
0.121094,0.0273438,0.500336,0.999664,0.500336,0.999664
0.128906,0.0273438,0.500305,0.999695,0.500305,0.999695
0.136719,0.0273438,0.500277,0.999723,0.500277,0.999723
0.144531,0.0273438,0.500251,0.999749,0.500251,0.999749
0.152344,0.0273438,0.500228,0.999772,0.500228,0.999772
0.160156,0.0273438,0.500207,0.999793,0.500207,0.999793
0.167969,0.0273438,0.500187,0.999813,0.500187,0.999813
0.175781,0.0273438,0.50017,0.99983,0.50017,0.99983
0.183594,0.0273438,0.500154,0.999846,0.500154,0.999846
0.191406,0.0273438,0.50014,0.99986,0.50014,0.99986
0.199219,0.0273438,0.500127,0.999873,0.500127,0.999873
0.207031,0.0273438,0.500115,0.999885,0.500115,0.999885
0.214844,0.0273438,0.500104,0.999896,0.500104,0.999896
0.222656,0.0273438,0.500095,0.999905,0.500095,0.999905
0.230469,0.0273438,0.500086,0.999914,0.500086,0.999914
0.238281,0.0273438,0.500078,0.999922,0.500078,0.999922
0.246094,0.0273438,0.500071,0.999929,0.500071,0.999929
0.253906,0.0273438,0.500064,0.999936,0.500064,0.999936
0.261719,0.0273438,0.500058,0.999942,0.500058,0.999942
0.269531,0.0273438,0.500053,0.999947,0.500053,0.999947
0.277344,0.0273438,0.500048,0.999952,0.500048,0.999952
0.285156,0.0273438,0.500043,0.999957,0.500043,0.999957
0.292969,0.0273438,0.500039,0.999961,0.500039,0.999961
0.300781,0.0273438,0.500036,0.999964,0.500036,0.999964
0.308594,0.0273438,0.500032,0.999968,0.500032,0.999968
0.316406,0.0273438,0.500029,0.999971,0.500029,0.999971
0.324219,0.0273438,0.500027,0.999973,0.500027,0.999973
0.332031,0.0273438,0.500024,0.999976,0.500024,0.999976
0.339844,0.0273438,0.500022,0.999978,0.500022,0.999978
0.347656,0.0273438,0.50002,0.99998,0.50002,0.99998
0.355469,0.0273438,0.500018,0.999982,0.500018,0.999982
0.363281,0.0273438,0.500016,0.999984,0.500016,0.999984
0.371094,0.0273438,0.500015,0.999985,0.500015,0.999985
0.378906,0.0273438,0.500013,0.999987,0.500013,0.999987
0.386719,0.0273438,0.500012,0.999988,0.500012,0.999988
0.394531,0.0273438,0.500011,0.999989,0.500011,0.999989
0.402344,0.0273438,0.50001,0.99999,0.50001,0.99999
0.410156,0.0273438,0.500009,0.999991,0.500009,0.999991
0.417969,0.0273438,0.500008,0.999992,0.500008,0.999992
0.425781,0.0273438,0.500007,0.999993,0.500007,0.999993
0.433594,0.0273438,0.500007,0.999993,0.500007,0.999993
0.441406,0.0273438,0.500006,0.999994,0.500006,0.999994
0.449219,0.0273438,0.500006,0.999994,0.500006,0.999994
0.457031,0.0273438,0.500005,0.999995,0.500005,0.999995
0.464844,0.0273438,0.500005,0.999995,0.500005,0.999995
0.472656,0.0273438,0.500004,0.999996,0.500004,0.999996
0.480469,0.0273438,0.500004,0.999996,0.500004,0.999996
0.488281,0.0273438,0.500003,0.999997,0.500003,0.999997
0.496094,0.0273438,0.500003,0.999997,0.500003,0.999997
0.00390625,0.0351562,0.501597,0.998403,0.501597,0.998403
0.0117188,0.0351562,0.501449,0.998551,0.501449,0.998551
0.0195312,0.0351562,0.501315,0.998685,0.501315,0.998685
0.0273438,0.0351562,0.501193,0.998807,0.501193,0.998807
0.0351562,0.0351562,0.501083,0.998917,0.501083,0.998917
0.0429688,0.0351562,0.500982,0.999018,0.500983,0.999017
0.0507812,0.0351562,0.500891,0.999109,0.500891,0.999109
0.0585938,0.0351562,0.500808,0.999192,0.500809,0.999191
0.0664062,0.0351562,0.500733,0.999267,0.500734,0.999266
0.0742188,0.0351562,0.500665,0.999335,0.500666,0.999334
0.0820312,0.0351562,0.500604,0.999396,0.500604,0.999396
0.0898438,0.0351562,0.500548,0.999452,0.500548,0.999452
0.0976562,0.0351562,0.500497,0.999503,0.500497,0.999503
0.105469,0.0351562,0.500451,0.999549,0.500451,0.999549
0.113281,0.0351562,0.500409,0.999591,0.500409,0.999591
0.121094,0.0351562,0.500371,0.999629,0.500371,0.999629
0.128906,0.0351562,0.500336,0.999664,0.500336,0.999664
0.136719,0.0351562,0.500305,0.999695,0.500305,0.999695
0.144531,0.0351562,0.500277,0.999723,0.500277,0.999723
0.152344,0.0351562,0.500251,0.999749,0.500251,0.999749
0.160156,0.0351562,0.500228,0.999772,0.500228,0.999772
0.167969,0.0351562,0.500206,0.999794,0.500207,0.999793
0.175781,0.0351562,0.500187,0.999813,0.500187,0.999813
0.183594,0.0351562,0.50017,0.99983,0.50017,0.99983
0.191406,0.0351562,0.500154,0.999846,0.500154,0.999846
0.199219,0.0351562,0.50014,0.99986,0.50014,0.99986
0.207031,0.0351562,0.500127,0.999873,0.500127,0.999873
0.214844,0.0351562,0.500115,0.999885,0.500115,0.999885
0.222656,0.0351562,0.500104,0.999896,0.500104,0.999896
0.230469,0.0351562,0.500095,0.999905,0.500095,0.999905
0.238281,0.0351562,0.500086,0.999914,0.500086,0.999914
0.246094,0.0351562,0.500078,0.999922,0.500078,0.999922
0.253906,0.0351562,0.500071,0.999929,0.500071,0.999929
0.261719,0.0351562,0.500064,0.999936,0.500064,0.999936
0.269531,0.0351562,0.500058,0.999942,0.500058,0.999942
0.277344,0.0351562,0.500053,0.999947,0.500053,0.999947
0.285156,0.0351562,0.500048,0.999952,0.500048,0.999952
0.292969,0.0351562,0.500043,0.999957,0.500043,0.999957
0.300781,0.0351562,0.500039,0.999961,0.500039,0.999961
0.308594,0.0351562,0.500036,0.999964,0.500036,0.999964
0.316406,0.0351562,0.500032,0.999968,0.500032,0.999968
0.324219,0.0351562,0.500029,0.999971,0.500029,0.999971
0.332031,0.0351562,0.500027,0.999973,0.500027,0.999973
0.339844,0.0351562,0.500024,0.999976,0.500024,0.999976
0.347656,0.0351562,0.500022,0.999978,0.500022,0.999978
0.355469,0.0351562,0.50002,0.99998,0.50002,0.99998
0.363281,0.0351562,0.500018,0.999982,0.500018,0.999982
0.371094,0.0351562,0.500016,0.999984,0.500016,0.999984
0.378906,0.0351562,0.500015,0.999985,0.500015,0.999985
0.386719,0.0351562,0.500013,0.999987,0.500013,0.999987
0.394531,0.0351562,0.500012,0.999988,0.500012,0.999988
0.402344,0.0351562,0.500011,0.999989,0.500011,0.999989
0.410156,0.0351562,0.50001,0.99999,0.50001,0.99999
0.417969,0.0351562,0.500009,0.999991,0.500009,0.999991
0.425781,0.0351562,0.500008,0.999992,0.500008,0.999992
0.433594,0.0351562,0.500007,0.999993,0.500007,0.999993
0.441406,0.0351562,0.500007,0.999993,0.500007,0.999993
0.449219,0.0351562,0.500006,0.999994,0.500006,0.999994
0.457031,0.0351562,0.500006,0.999994,0.500006,0.999994
0.464844,0.0351562,0.500005,0.999995,0.500005,0.999995
0.472656,0.0351562,0.500005,0.999995,0.500005,0.999995
0.480469,0.0351562,0.500004,0.999996,0.500004,0.999996
0.488281,0.0351562,0.500004,0.999996,0.500004,0.999996
0.496094,0.0351562,0.500003,0.999997,0.500003,0.999997
0.00390625,0.0429688,0.50176,0.99824,0.50176,0.99824
0.0117188,0.0429688,0.501597,0.998403,0.501597,0.998403
0.0195312,0.0429688,0.501449,0.998551,0.501449,0.998551
0.0273438,0.0429688,0.501315,0.998685,0.501315,0.998685
0.0351562,0.0429688,0.501193,0.998807,0.501193,0.998807
0.0429688,0.0429688,0.501082,0.998918,0.501083,0.998917
0.0507812,0.0429688,0.500982,0.999018,0.500983,0.999017
0.0585938,0.0429688,0.500891,0.999109,0.500891,0.999109
0.0664062,0.0429688,0.500808,0.999192,0.500809,0.999191
0.0742188,0.0429688,0.500733,0.999267,0.500734,0.999266
0.0820312,0.0429688,0.500665,0.999335,0.500666,0.999334
0.0898438,0.0429688,0.500604,0.999396,0.500604,0.999396
0.0976562,0.0429688,0.500548,0.999452,0.500548,0.999452
0.105469,0.0429688,0.500497,0.999503,0.500497,0.999503
0.113281,0.0429688,0.500451,0.999549,0.500451,0.999549
0.121094,0.0429688,0.500409,0.999591,0.500409,0.999591
0.128906,0.0429688,0.500371,0.999629,0.500371,0.999629
0.136719,0.0429688,0.500336,0.999664,0.500336,0.999664
0.144531,0.0429688,0.500305,0.999695,0.500305,0.999695
0.152344,0.0429688,0.500277,0.999723,0.500277,0.999723
0.160156,0.0429688,0.500251,0.999749,0.500251,0.999749
0.167969,0.0429688,0.500228,0.999772,0.500228,0.999772
0.175781,0.0429688,0.500206,0.999794,0.500207,0.999793
0.183594,0.0429688,0.500187,0.999813,0.500187,0.999813
0.191406,0.0429688,0.50017,0.99983,0.50017,0.99983
0.199219,0.0429688,0.500154,0.999846,0.500154,0.999846
0.207031,0.0429688,0.50014,0.99986,0.50014,0.99986
0.214844,0.0429688,0.500127,0.999873,0.500127,0.999873
0.222656,0.0429688,0.500115,0.999885,0.500115,0.999885
0.230469,0.0429688,0.500104,0.999896,0.500104,0.999896
0.238281,0.0429688,0.500095,0.999905,0.500095,0.999905
0.246094,0.0429688,0.500086,0.999914,0.500086,0.999914
0.253906,0.0429688,0.500078,0.999922,0.500078,0.999922
0.261719,0.0429688,0.500071,0.999929,0.500071,0.999929
0.269531,0.0429688,0.500064,0.999936,0.500064,0.999936
0.277344,0.0429688,0.500058,0.999942,0.500058,0.999942
0.285156,0.0429688,0.500053,0.999947,0.500053,0.999947
0.292969,0.0429688,0.500048,0.999952,0.500048,0.999952
0.300781,0.0429688,0.500043,0.999957,0.500043,0.999957
0.308594,0.0429688,0.500039,0.999961,0.500039,0.999961
0.316406,0.0429688,0.500036,0.999964,0.500036,0.999964
0.324219,0.0429688,0.500032,0.999968,0.500032,0.999968
0.332031,0.0429688,0.500029,0.999971,0.500029,0.999971
0.339844,0.0429688,0.500027,0.999973,0.500027,0.999973
0.347656,0.0429688,0.500024,0.999976,0.500024,0.999976
0.355469,0.0429688,0.500022,0.999978,0.500022,0.999978
0.363281,0.0429688,0.50002,0.99998,0.50002,0.99998
0.371094,0.0429688,0.500018,0.999982,0.500018,0.999982
0.378906,0.0429688,0.500016,0.999984,0.500016,0.999984
0.386719,0.0429688,0.500015,0.999985,0.500015,0.999985
0.394531,0.0429688,0.500013,0.999987,0.500013,0.999987
0.402344,0.0429688,0.500012,0.999988,0.500012,0.999988
0.410156,0.0429688,0.500011,0.999989,0.500011,0.999989
0.417969,0.0429688,0.50001,0.99999,0.50001,0.99999
0.425781,0.0429688,0.500009,0.999991,0.500009,0.999991
0.433594,0.0429688,0.500008,0.999992,0.500008,0.999992
0.441406,0.0429688,0.500007,0.999993,0.500007,0.999993
0.449219,0.0429688,0.500007,0.999993,0.500007,0.999993
0.457031,0.0429688,0.500006,0.999994,0.500006,0.999994
0.464844,0.0429688,0.500006,0.999994,0.500006,0.999994
0.472656,0.0429688,0.500005,0.999995,0.500005,0.999995
0.480469,0.0429688,0.500005,0.999995,0.500005,0.999995
0.488281,0.0429688,0.500004,0.999996,0.500004,0.999996
0.496094,0.0429688,0.500004,0.999996,0.500004,0.999996
0.00390625,0.0507812,0.501939,0.998061,0.501939,0.998061
0.0117188,0.0507812,0.50176,0.99824,0.50176,0.99824
0.0195312,0.0507812,0.501597,0.998403,0.501597,0.998403
0.0273438,0.0507812,0.501449,0.998551,0.501449,0.998551
0.0351562,0.0507812,0.501315,0.998685,0.501315,0.998685
0.0429688,0.0507812,0.501193,0.998807,0.501193,0.998807
0.0507812,0.0507812,0.501082,0.998918,0.501083,0.998917
0.0585938,0.0507812,0.500982,0.999018,0.500983,0.999017
0.0664062,0.0507812,0.500891,0.999109,0.500891,0.999109
0.0742188,0.0507812,0.500808,0.999192,0.500809,0.999191
0.0820312,0.0507812,0.500733,0.999267,0.500734,0.999266
0.0898438,0.0507812,0.500665,0.999335,0.500666,0.999334
0.0976562,0.0507812,0.500603,0.999397,0.500604,0.999396
0.105469,0.0507812,0.500547,0.999453,0.500548,0.999452
0.113281,0.0507812,0.500497,0.999503,0.500497,0.999503
0.121094,0.0507812,0.50045,0.99955,0.500451,0.999549
0.128906,0.0507812,0.500409,0.999591,0.500409,0.999591
0.136719,0.0507812,0.500371,0.999629,0.500371,0.999629
0.144531,0.0507812,0.500336,0.999664,0.500336,0.999664
0.152344,0.0507812,0.500305,0.999695,0.500305,0.999695
0.160156,0.0507812,0.500277,0.999723,0.500277,0.999723
0.167969,0.0507812,0.500251,0.999749,0.500251,0.999749
0.175781,0.0507812,0.500228,0.999772,0.500228,0.999772
0.183594,0.0507812,0.500206,0.999794,0.500207,0.999793
0.191406,0.0507812,0.500187,0.999813,0.500187,0.999813
0.199219,0.0507812,0.50017,0.99983,0.50017,0.99983
0.207031,0.0507812,0.500154,0.999846,0.500154,0.999846
0.214844,0.0507812,0.50014,0.99986,0.50014,0.99986
0.222656,0.0507812,0.500127,0.999873,0.500127,0.999873
0.230469,0.0507812,0.500115,0.999885,0.500115,0.999885
0.238281,0.0507812,0.500104,0.999896,0.500104,0.999896
0.246094,0.0507812,0.500095,0.999905,0.500095,0.999905
0.253906,0.0507812,0.500086,0.999914,0.500086,0.999914
0.261719,0.0507812,0.500078,0.999922,0.500078,0.999922
0.269531,0.0507812,0.500071,0.999929,0.500071,0.999929
0.277344,0.0507812,0.500064,0.999936,0.500064,0.999936
0.285156,0.0507812,0.500058,0.999942,0.500058,0.999942
0.292969,0.0507812,0.500053,0.999947,0.500053,0.999947
0.300781,0.0507812,0.500048,0.999952,0.500048,0.999952
0.308594,0.0507812,0.500043,0.999957,0.500043,0.999957
0.316406,0.0507812,0.500039,0.999961,0.500039,0.999961
0.324219,0.0507812,0.500036,0.999964,0.500036,0.999964
0.332031,0.0507812,0.500032,0.999968,0.500032,0.999968
0.339844,0.0507812,0.500029,0.999971,0.500029,0.999971
0.347656,0.0507812,0.500027,0.999973,0.500027,0.999973
0.355469,0.0507812,0.500024,0.999976,0.500024,0.999976
0.363281,0.0507812,0.500022,0.999978,0.500022,0.999978
0.371094,0.0507812,0.50002,0.99998,0.50002,0.99998
0.378906,0.0507812,0.500018,0.999982,0.500018,0.999982
0.386719,0.0507812,0.500016,0.999984,0.500016,0.999984
0.394531,0.0507812,0.500015,0.999985,0.500015,0.999985
0.402344,0.0507812,0.500013,0.999987,0.500013,0.999987
0.410156,0.0507812,0.500012,0.999988,0.500012,0.999988
0.417969,0.0507812,0.500011,0.999989,0.500011,0.999989
0.425781,0.0507812,0.50001,0.99999,0.50001,0.99999
0.433594,0.0507812,0.500009,0.999991,0.500009,0.999991
0.441406,0.0507812,0.500008,0.999992,0.500008,0.999992
0.449219,0.0507812,0.500007,0.999993,0.500007,0.999993
0.457031,0.0507812,0.500007,0.999993,0.500007,0.999993
0.464844,0.0507812,0.500006,0.999994,0.500006,0.999994
0.472656,0.0507812,0.500006,0.999994,0.500006,0.999994
0.480469,0.0507812,0.500005,0.999995,0.500005,0.999995
0.488281,0.0507812,0.500005,0.999995,0.500005,0.999995
